Tool,ID,Page,Label,SpatialDist
PdfAct,20.tar_1701.09020.gz_relat_tsz_publi_black.pdf,5,paragraph,"(0, 0, 0, 0.001810774105930335)"
PdfAct,20.tar_1701.08916.gz_prototypal_learning_black.pdf,12,paragraph,0
PdfAct,2.tar_1701.00568.gz_draft6-arxiv-version_black.pdf,2,paragraph,0
PdfAct,7.tar_1701.02682.gz_devils-advocate-ppdp0-2015-arxiv_black.pdf,25,paragraph,"(0, 0, 0, 0.5716227697536109)"
PdfAct,5.tar_1701.02035.gz_Date_AB_vs_GB_second_v6_black.pdf,3,paragraph,"(0, 0, 0, 0.9012030623405031)"
PdfAct,10.tar_1701.03999.gz_virtual_black.pdf,4,paragraph,"(0, 0, 0, 0.39109912339851655)"
PdfAct,20.tar_1701.08799.gz_main_black.pdf,5,paragraph,"(0, 0, 0, 0.4535498489425982)"
PdfAct,2.tar_1701.00888.gz_gtest_arXiv_170103_black.pdf,5,paragraph,"(0, 0, 0, 0.36769036600757254)"
PdfAct,9.tar_1701.03710.gz_VCRjstat2017_black.pdf,1,paragraph,"(0, 0, 0, 0.78808281434102)"
PdfAct,5.tar_1701.02153.gz_Sixfold_AMR_in_LAO-STO__111__black.pdf,0,paragraph,"(0, 0, 0, 0.7574941662179142)"
PdfAct,20.tar_1701.09080.gz_flows-paper-v2_black.pdf,0,paragraph,"(0, 0, 0, 0.5499591614484073)"
PdfAct,19.tar_1701.08264.gz_main_black.pdf,21,paragraph,"(0, 0, 0, 0.7143120279977896)"
PdfAct,4.tar_1701.01573.gz_accv2016finalpaper_black.pdf,2,paragraph,"(0, 0, 0, 0.9149149149149148)"
PdfAct,7.tar_1701.02982.gz_Esser_Jaffard_Divergence_black.pdf,6,paragraph,"(0, 0, 0, 0.6627450980392158)"
PdfAct,2.tar_1701.00911.gz_draft_black.pdf,2,paragraph,"(0, 0, 0, 0.5266903914590748)"
PdfAct,10.tar_1701.04232.gz_cond-mat_black.pdf,9,paragraph,0
PdfAct,2.tar_1701.00608.gz_article1_black.pdf,35,paragraph,"(0, 0, 0, 0.7449441593721703)"
PdfAct,10.tar_1701.04050.gz_DeGregorio_Final4_black.pdf,41,paragraph,"(0, 0, 0, 0.7842056932966024)"
PdfAct,7.tar_1701.02621.gz_Geometric-vulnerability_black.pdf,12,paragraph,"(0, 0, 0, 0.8232758620689655)"
PdfAct,20.tar_1701.08829.gz_length-angle_black.pdf,22,paragraph,"(0, 0, 0, 0.39557661927330173)"
PdfAct,8.tar_1701.03183.gz_kahler_structures_on_spaces_of_framed_curves_black.pdf,27,paragraph,0
PdfAct,20.tar_1701.08781.gz_corrAnal_paper_black.pdf,0,paragraph,"(0, 0, 0, 0.38700873362445415)"
PdfAct,20.tar_1701.08973.gz_CCC_Preprint_black.pdf,1,paragraph,"(0, 0, 0, 0.8443804034582132)"
PdfAct,8.tar_1701.03239.gz_ngrigh7_black.pdf,0,paragraph,"(0, 0, 0, 0.22545454545454546)"
PdfAct,19.tar_1701.08626.gz_spline6_black.pdf,15,paragraph,"(0, 0, 0, 0.6321151716500554)"
PdfAct,20.tar_1701.08943.gz_UC_Polytope_black.pdf,0,paragraph,"(0, 0, 0, 0.5180136319376826)"
PdfAct,7.tar_1701.03045.gz_Parabolic_curve_final_revised_black.pdf,12,paragraph,"(0, 0, 0, 0.28937160589604344)"
PdfAct,4.tar_1701.01560.gz_manuscript1_black.pdf,1,paragraph,"(0, 0, 0, 0.7824961160020715)"
PdfAct,2.tar_1701.00700.gz_archive_black.pdf,6,paragraph,"(0, 0, 0, 0.5938841201716738)"
PdfAct,9.tar_1701.03985.gz_nto2-paper_black.pdf,2,paragraph,"(0, 0, 0, 0.5799182591406163)"
PdfAct,19.tar_1701.08312.gz_clip_black.pdf,11,paragraph,"(0, 0, 0, 0.002711864406779654)"
PdfAct,6.tar_1701.02483.gz_Finite_Pop_spread_control_black.pdf,13,paragraph,"(0, 0, 0, 0.4758586361373818)"
PdfAct,2.tar_1701.00575.gz_2_black.pdf,11,paragraph,"(0, 0, 0, 0.42430484037075183)"
PdfAct,4.tar_1701.01545.gz_body_black.pdf,2,paragraph,"(0, 0, 0, 0.5518757327080891)"
PdfAct,19.tar_1701.08611.gz_sub-self-affine_black.pdf,4,paragraph,"(0, 0, 0, 0.6621425109064469)"
PdfAct,2.tar_1701.00568.gz_draft6-arxiv-version_black.pdf,5,paragraph,"(0, 0, 0, 0.8360938121107725)"
PdfAct,19.tar_1701.08550.gz_Ceres_photometry_black.pdf,16,paragraph,"(0, 0, 0, 0.5229240957717779)"
PdfAct,7.tar_1701.02722.gz_MonrealP_v2_black.pdf,6,paragraph,"(0, 0, 0, 0.8653175157013259)"
PdfAct,1.tar_1701.00429.gz__arXiv_KoszulDualAndFukayaCat_black.pdf,38,paragraph,"(0, 0, 0, 0.5928901385820445)"
PdfAct,20.tar_1701.08799.gz_main_black.pdf,2,paragraph,"(0, 0, 0, 0.5904946653734239)"
PdfAct,1.tar_1701.00185.gz_NeuralNetworks-004_black.pdf,19,paragraph,"(0, 0, 0, 0.4159462055715658)"
PdfAct,7.tar_1701.02781.gz_lattice-model_DM_3_black.pdf,4,paragraph,"(0, 0, 0, 0.6197086546700943)"
PdfAct,19.tar_1701.08510.gz_ms_black.pdf,10,paragraph,"(0, 0, 0, 0.3378461538461538)"
PdfAct,7.tar_1701.02746.gz_Gamma-Ray-MWDisk_black.pdf,6,paragraph,"(0, 0, 0, 0.6406853687216529)"
PdfAct,1.tar_1701.00189.gz_BPSCFT-Hep-III_black.pdf,14,paragraph,"(0, 0, 0, 0.5825292026409344)"
PdfAct,9.tar_1701.03680.gz_main4_black.pdf,1,paragraph,"(0, 0, 0, 0.7606239913932222)"
PdfAct,7.tar_1701.02976.gz_jpcm_AB_black.pdf,6,paragraph,0
PdfAct,7.tar_1701.03027.gz_colouredneretin_arXiv2_black.pdf,19,paragraph,"(0, 0, 0, 0.3891402714932126)"
PdfAct,5.tar_1701.01971.gz_linear-mu-for-arxiv_black.pdf,14,paragraph,"(0, 0, 0, 0.5516506922257721)"
PdfAct,10.tar_1701.04050.gz_DeGregorio_Final4_black.pdf,46,paragraph,"(0, 0, 0, 0.5194616224081484)"
PdfAct,7.tar_1701.02621.gz_Geometric-vulnerability_black.pdf,15,paragraph,"(0, 0, 0, 0.022292993630573223)"
PdfAct,1.tar_1701.00443.gz_presentations_black.pdf,6,paragraph,"(0, 0, 0, 0.563315103071098)"
PdfAct,20.tar_1701.08905.gz_main_black.pdf,41,paragraph,"(0, 0, 0, 0.1485507246376811)"
PdfAct,2.tar_1701.00613.gz_QMC_EBHM_1D_0425_black.pdf,4,paragraph,"(0, 0, 0, 0.4316797214969539)"
PdfAct,5.tar_1701.01974.gz_renyifano20171205_black.pdf,18,paragraph,"(0, 0, 0, 0.38308283816847255)"
PdfAct,5.tar_1701.01975.gz_main_black.pdf,11,paragraph,"(0, 0, 0, 0.6120018323408154)"
