Tool,ID,Page,Label,SpatialDist
PdfAct,245.tar_1710.10078.gz_ASMPS-Karlovich-2017-04-05_black.pdf,0,section,"(0.0136986301369863, 0.006944444444444444, 0.5, 0.040983606557377074)"
PdfAct,221.tar_1710.00430.gz_ecff_black.pdf,13,section,"(0.30612244897959184, 0.16304347826086957, 2.5, 0.1573498964803312)"
PdfAct,239.tar_1710.07460.gz_ms_black.pdf,7,section,"(0, 0, 0, 0.04264392324093819)"
PdfAct,234.tar_1710.05375.gz_SimpleKTS_black.pdf,0,section,0
PdfAct,242.tar_1710.08638.gz_thesisBib_black.pdf,76,section,0
PdfAct,238.tar_1710.07209.gz_2DMicroToMacro_black.pdf,22,section,"(0.25, 0.25, 0.25, 0.5714285714285715)"
PdfAct,244.tar_1710.09815.gz_LCS-1_27_11-17_black.pdf,3,section,"(0, 0, 0, 0.13186813186813182)"
PdfAct,235.tar_1710.05923.gz_AdS5ArXivv2_black.pdf,36,section,"(0, 0, 0, 0.18018018018018012)"
PdfAct,239.tar_1710.07493.gz_struct17_black.pdf,35,section,"(1.0, 1.0, 1.0, 1.0)"
PdfAct,238.tar_1710.07123.gz_Paper2_101917_black.pdf,1,section,"(0, 0, 0, 0.20408163265306128)"
PdfAct,245.tar_1710.10293.gz_PPPP_black.pdf,2,section,0
PdfAct,243.tar_1710.09483.gz_Schmerling.Leung.Vollprecht.Pavone.ICRA18.ARXIV_black.pdf,3,section,"(0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.6060606060606061)"
PdfAct,238.tar_1710.07168.gz_avsp2017_black.pdf,1,section,"(0.32, 0.2222222222222222, 0.5714285714285714, 0.36666666666666664)"
PdfAct,232.tar_1710.04660.gz_smarrnlecqg3_black.pdf,15,section,"(0.7499999999999999, 0.6, 1.0, 0.7714285714285714)"
PdfAct,221.tar_1710.00395.gz_Second_version_arxiv_black.pdf,0,section,"(0.38095238095238093, 0.2857142857142857, 0.5714285714285714, 0.44303797468354433)"
PdfAct,232.tar_1710.04750.gz_arXiv_SGGMSC_black.pdf,1,section,"(0, 0, 0, 0.04651162790697669)"
PdfAct,242.tar_1710.08785.gz_edmCubed_black.pdf,10,section,0
PdfAct,239.tar_1710.07773.gz_risb_dmet_black.pdf,11,section,"(0, 0, 0, 0.0880503144654088)"
PdfAct,244.tar_1710.09781.gz_Resolution-RM_black.pdf,43,section,"(0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.30630630630630634)"
PdfAct,232.tar_1710.04763.gz_QuenchDetection_modified_black.pdf,15,section,0
PdfAct,245.tar_1710.10005.gz_Template_shortened_R1_arxiv_black.pdf,12,section,"(1.0, 1.0, 1.0, 1.0)"
PdfAct,233.tar_1710.05133.gz_Draft_7_single_black.pdf,11,section,"(0.04761904761904762, 0.027777777777777776, 0.16666666666666666, 0.07111111111111114)"
PdfAct,245.tar_1710.10030.gz_Magnetic_monopoles_1.5_final_arxiv_black.pdf,1,section,"(0.3529411764705882, 0.23076923076923078, 0.75, 0.4074074074074074)"
PdfAct,239.tar_1710.07551.gz_MAIN_black.pdf,3,section,"(0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.9465648854961831)"
PdfAct,238.tar_1710.07021.gz_sygus17_black.pdf,1,section,0
PdfAct,236.tar_1710.06300.gz_A_note_on_TBSDH_black.pdf,10,section,"(0.24096385542168675, 0.13513513513513514, 1.1111111111111112, 0.17577197149643708)"
PdfAct,235.tar_1710.06015.gz_genconstr_black.pdf,19,section,0
PdfAct,220.tar_1710.00287.gz_outliers_black.pdf,21,section,"(0, 0, 0, 0.13274336283185847)"
PdfAct,223.tar_1710.01146.gz_Distance_Correlation_Review_Revision_2806_black.pdf,20,section,"(0, 0, 0, 0.16058394160583944)"
PdfAct,220.tar_1710.00363.gz_sup_norm_Eisenstein_black.pdf,2,section,"(0.04, 0.021739130434782608, 0.25, 0.12454212454212453)"
PdfAct,224.tar_1710.01396.gz_DMFT-B-square-Lattice-AM_AS_AF-v3_black.pdf,4,section,"(0, 0, 0, 0.0)"
PdfAct,238.tar_1710.06952.gz_arxiv-inline_black.pdf,10,section,"(0.13636363636363635, 0.09375, 0.25, 0.3422818791946308)"
