Tool,ID,Page,Label,F1,SpatialDist
PdfAct,32.tar_1702.04536.gz_MM_using_LR_black.pdf,14,reference,0.9433758387474888,0.9925594759742247
PdfAct,22.tar_1702.00360.gz_review_arxiv2_black.pdf,23,reference,0.0,0.0
PdfAct,27.tar_1702.02449.gz_av_pub_black.pdf,35,reference,0.0,0.0
PdfAct,25.tar_1702.01763.gz_main_black.pdf,6,reference,0.0,0.0
PdfAct,28.tar_1702.02815.gz_draftGL_black.pdf,4,reference,0.9104712608304169,0.9922967927550352
PdfAct,31.tar_1702.04189.gz_IDEneutrino_black.pdf,18,reference,0.9425714958074012,0.9656308029120779
PdfAct,32.tar_1702.04869.gz_main_2c_black.pdf,13,reference,0.0,0.0
PdfAct,32.tar_1702.04675.gz_neq_k3c60_black.pdf,9,reference,0.0,0.0
PdfAct,22.tar_1702.00024.gz_arxivpaper_black.pdf,22,reference,0.9032935038112592,0.9803787747286649
PdfAct,32.tar_1702.04603.gz_main_GS3_black.pdf,29,reference,0.0,0.0
PdfAct,23.tar_1702.00474.gz_MSP_paper_David_Salvetti_black.pdf,15,reference,0.0,0.0
PdfAct,33.tar_1702.05084.gz_nonlinear_black.pdf,12,reference,0.0,0.0
PdfAct,31.tar_1702.04298.gz_single_skrymion_AMR_black.pdf,17,reference,0.0,0.0
PdfAct,32.tar_1702.04894.gz_sjsu_2D_sec_kolm+nek_black.pdf,30,reference,0.0,0.1220601369455195
PdfAct,30.tar_1702.03837.gz_homoclinic-Morse-inequalities_black.pdf,22,reference,0.9745311401123125,0.9836553469869169
PdfAct,25.tar_1702.01730.gz_fluct_black.pdf,8,reference,0.0,0.0
PdfAct,24.tar_1702.01183.gz_paperver6_black.pdf,31,reference,0.9632918695070516,0.9521827123571195
PdfAct,28.tar_1702.02824.gz_SHGPaperSubV1_black.pdf,8,reference,0.0,0.0
PdfAct,25.tar_1702.01576.gz_AnomalyGrid_20170126_black.pdf,30,reference,0.9390980821522324,0.9743962694810337
PdfAct,22.tar_1702.00116.gz_HighBaryonDensity_black.pdf,3,reference,0.0,0.0
PdfAct,28.tar_1702.02798.gz_master_black.pdf,8,reference,0.9230992861500594,0.9731802376340963
PdfAct,22.tar_1702.00320.gz_sss_black.pdf,24,reference,0.9514093836505412,0.9872145445139675
PdfAct,28.tar_1702.03071.gz_raa_black.pdf,7,reference,0.0,0.0
PdfAct,30.tar_1702.03994.gz_ms_black.pdf,41,reference,0.0,0.0
PdfAct,29.tar_1702.03551.gz_paper_rev_final_arXiv_black.pdf,6,reference,0.0,0.0
PdfAct,22.tar_1702.00148.gz_13_tau_black.pdf,4,reference,0.9115250441207552,0.9883762282936546
PdfAct,31.tar_1702.04421.gz_satoshitables_black.pdf,11,reference,0.0,0.0
PdfAct,26.tar_1702.01961.gz_rbepwt-arxiv_black.pdf,23,reference,0.9589747687349204,0.9914705073161181
PdfAct,25.tar_1702.01465.gz_nerovny_2017_v3_black.pdf,21,reference,0.0,0.0
PdfAct,31.tar_1702.04264.gz_main_black.pdf,7,reference,0.0,0.0
PdfAct,30.tar_1702.03937.gz_paper_final_black.pdf,9,reference,0.0,0.0
PdfAct,31.tar_1702.04423.gz_arxiv_fetr_black.pdf,16,reference,0.990669907682551,0.9653640892827999
PdfAct,31.tar_1702.04271.gz_Quantum_sensing_networks_arXiv_v1_black.pdf,38,reference,0.0,0.0
PdfAct,32.tar_1702.04530.gz_evpm45_black.pdf,37,reference,0.9727958000670308,0.9889907955471561
PdfAct,24.tar_1702.01100.gz_main_black.pdf,16,reference,0.9918961900312948,0.9500221845033218
PdfAct,27.tar_1702.02243.gz_Lambda_black.pdf,42,reference,0.9985762597127514,0.9579641622584152
PdfAct,31.tar_1702.04025.gz_seqsubfamilyFWE2017-02-14_black.pdf,8,reference,0.9292859007870832,0.9988671039366283
PdfAct,25.tar_1702.01412.gz_mypaper_for_Diffraction_2016_black.pdf,5,reference,0.9472597103397457,0.9750711722980884
PdfAct,25.tar_1702.01416.gz_crowdsourced-Sep08_black.pdf,40,reference,0.9403281484091824,0.9944610098744404
PdfAct,28.tar_1702.02855.gz_StefszkySQZSub_black.pdf,7,reference,0.0,0.0
PdfAct,28.tar_1702.02825.gz_sample_black.pdf,15,reference,0.0,0.0
PdfAct,27.tar_1702.02441.gz_Daza_PRA_2017_black.pdf,14,reference,0.0,0.0
PdfAct,25.tar_1702.01481.gz_for_upload_black.pdf,8,reference,0.0,0.0
PdfAct,30.tar_1702.03893.gz_ms_black.pdf,6,reference,0.0,0.0
PdfAct,29.tar_1702.03349.gz_paper_black.pdf,4,reference,0.0,0.0
PdfAct,26.tar_1702.01952.gz_articoloCL5_black.pdf,17,reference,0.0,0.0
PdfAct,33.tar_1702.05000.gz_voting_black.pdf,15,reference,0.954066745750584,0.981833122797057
PdfAct,24.tar_1702.01058.gz_threshold_black.pdf,7,reference,0.9051604752330242,0.9799677765608106
PdfAct,27.tar_1702.02436.gz_spin_1_v3_black.pdf,6,reference,0.0,0.0
PdfAct,22.tar_1702.00304.gz_revision_black.pdf,14,reference,0.0,0.0
PdfAct,33.tar_1702.05115.gz_Genon_arXiv_black.pdf,7,reference,0.0,0.0
PdfAct,33.tar_1702.05071.gz_DdimCoulombGas_arXiv_black.pdf,16,reference,0.0,0.0
PdfAct,25.tar_1702.01349.gz_arxiv_black.pdf,26,reference,0.0,0.0
PdfAct,25.tar_1702.01509.gz_FeN_Multilayer_black.pdf,6,reference,0.0,0.0
PdfAct,28.tar_1702.02722.gz_cmhk_black.pdf,12,reference,0.0,0.0
PdfAct,23.tar_1702.00796.gz_EqDecompII_black.pdf,24,reference,0.0,0.0
PdfAct,31.tar_1702.04432.gz_vertex_isoperimetry_clique_arxiv_black.pdf,17,reference,0.0,0.0
PdfAct,30.tar_1702.03708.gz_ttgamma-CLIC-newversion_black.pdf,17,reference,0.0,0.0
PdfAct,23.tar_1702.00582.gz_main_black.pdf,12,reference,0.0,0.0
PdfAct,32.tar_1702.04565.gz_privacy_incentive_black.pdf,7,reference,0.0,0.0
PdfAct,26.tar_1702.02166.gz_AsymptoticApproximantsPreprint_black.pdf,29,reference,0.0054694621695533,0.0459177092738295
PdfAct,23.tar_1702.00504.gz_StrongCouplingSpinEnsemble_V11_brose_black.pdf,8,reference,0.0,0.0
PdfAct,27.tar_1702.02335.gz_h2_luttinger_v2_black.pdf,5,reference,0.0,0.0
PdfAct,26.tar_1702.01919.gz_MFLGL_13_black.pdf,122,reference,0.0,0.0
PdfAct,33.tar_1702.04980.gz_Modulation_Instability_of_AAC-_FINAL_black.pdf,10,reference,0.0,0.0
PdfAct,28.tar_1702.03033.gz_syscomNN_black.pdf,8,reference,0.943436048884573,0.974027987867845
PdfAct,26.tar_1702.01919.gz_MFLGL_13_black.pdf,125,reference,0.0,0.0
PdfAct,32.tar_1702.04595.gz_iclr2017_conference_black.pdf,11,reference,0.0,0.0
PdfAct,27.tar_1702.02413.gz_arxiv_201711_black.pdf,22,reference,0.0,0.0
PdfAct,22.tar_1702.00389.gz_quant_conf_draft_31Jan_black.pdf,9,reference,0.9311590009926756,0.9556449607492347
PdfAct,28.tar_1702.03052.gz_shi-lapd-2017_black.pdf,19,reference,0.0,0.0
PdfAct,24.tar_1702.01003.gz_RA_arxiv_v3_black.pdf,57,reference,0.9927209690004384,0.9965112231788718
PdfAct,25.tar_1702.01538.gz_final_black.pdf,18,reference,0.0,0.0
PdfAct,28.tar_1702.02914.gz_PVTfiltersNewRT_2Columns_arXiv_black.pdf,12,reference,0.0,0.0
PdfAct,25.tar_1702.01335.gz_couette-pre_black.pdf,20,reference,0.0,0.0
PdfAct,32.tar_1702.04894.gz_sjsu_2D_sec_kolm+nek_black.pdf,29,reference,0.9776283556150056,0.9591925429749384
PdfAct,29.tar_1702.03115.gz_texture_SCOP_axiv_black.pdf,19,reference,0.903831551095173,0.9820107901314038
PdfAct,32.tar_1702.04851.gz_ms-arxiv_black.pdf,27,reference,0.9242829404992636,0.9781849358895609
PdfAct,32.tar_1702.04625.gz_suz20170922_black.pdf,35,reference,0.9261467694595434,0.9728889073655821
PdfAct,31.tar_1702.04330.gz_SparseSeq_draft_0516_black.pdf,21,reference,0.91095954108347,0.9513128466667098
PdfAct,22.tar_1702.00017.gz_UniversalV13_black.pdf,10,reference,0.9007098565022874,0.9994702890299966
PdfAct,23.tar_1702.00413.gz_draft_black.pdf,31,reference,0.0016988744956466,0.1683412107661392
PdfAct,25.tar_1702.01576.gz_AnomalyGrid_20170126_black.pdf,29,reference,0.0052253429131286,0.0355912743972444
PdfAct,31.tar_1702.04172.gz_arXiv_black.pdf,10,reference,0.0,0.0
PdfAct,33.tar_1702.05148.gz_draft_black.pdf,9,reference,0.0,0.0
PdfAct,22.tar_1702.00228.gz_coll-modes-2_black.pdf,15,reference,0.0,0.0
PdfAct,30.tar_1702.03577.gz_Physical_renormalisation_schemes_and_asymptotic_safety_in_quantum_gravity_black.pdf,39,reference,0.0,0.0
PdfAct,30.tar_1702.03953.gz_SarbuArXiv_black.pdf,3,reference,0.0,0.0
PdfAct,28.tar_1702.02942.gz_draft_FDMFT_Mig_black.pdf,20,reference,0.0,0.0
PdfAct,30.tar_1702.03964.gz_eacl2017_black.pdf,4,reference,0.0060698027314112,0.1316515569570359
PdfAct,30.tar_1702.03686.gz_pbislands_black.pdf,10,reference,0.0,0.0
PdfAct,29.tar_1702.03310.gz_main_black.pdf,8,reference,0.0,0.0
PdfAct,22.tar_1702.00098.gz_TC_bare_jrnl_re-v3_black.pdf,11,reference,0.0,0.0
PdfAct,26.tar_1702.02108.gz_ActuatorSurface_black.pdf,18,reference,0.9221372642771386,0.986348535934919
PdfAct,29.tar_1702.03517.gz_ldjw2017arXivV2_black.pdf,31,reference,0.0,0.0
PdfAct,26.tar_1702.02110.gz_final2_black.pdf,48,reference,0.0014211274277593,0.1905325443786982
PdfAct,33.tar_1702.05112.gz_kfu-ekln_black.pdf,15,reference,0.9008669973018418,0.9605776708320408
PdfAct,33.tar_1702.05046.gz_MajoranaConductance_black.pdf,14,reference,0.0,0.0
PdfAct,26.tar_1702.01902.gz_article_black.pdf,5,reference,0.0,0.0
PdfAct,25.tar_1702.01421.gz_alg_black.pdf,23,reference,0.906754768074322,0.9677546134751311
PdfAct,31.tar_1702.04361.gz_VortexDraftv2_black.pdf,5,reference,0.0,0.0
