Tool,ID,Page,Label,SpatialDist
PdfAct,43.tar_1404.1912.gz_spectral_measures_C2-v11_black.pdf,2,section,0
PdfAct,43.tar_1404.1938.gz_localdm_review_black.pdf,48,section,"(0, 0, 0, 0.22608695652173907)"
PdfAct,50.tar_1404.5738.gz_FreeEnergy_black.pdf,0,section,"(0, 0, 0, 0.15730337078651688)"
PdfAct,43.tar_1404.1715.gz_scgw-article_black.pdf,12,section,0
PdfAct,46.tar_1404.3410.gz_ldpfourthver_black.pdf,7,section,"(0, 0, 0, 0.18)"
PdfAct,48.tar_1404.4317.gz_PecletV50_black.pdf,8,section,"(0, 0, 0, 0.04020100502512562)"
PdfAct,41.tar_1404.0508.gz_idqn-arxiv_black.pdf,2,section,0
PdfAct,46.tar_1404.3536.gz_cholPCCP_black.pdf,2,section,"(0, 0, 0, 0.11428571428571431)"
PdfAct,43.tar_1404.1295.gz_exp_sys_2014_rev2_black.pdf,14,section,"(1.0, 1.0, 1.0, 1.0)"
PdfAct,44.tar_1404.2434.gz_Draftanomsupv29_7_14_black.pdf,21,section,0
PdfAct,49.tar_1404.5356.gz_SafeTreesJanssenVautour_black.pdf,9,section,"(0.14285714285714285, 0.08045977011494253, 0.6363636363636364, 0.18415417558886504)"
PdfAct,50.tar_1404.5961.gz_S.N.Molina_black.pdf,14,section,0
PdfAct,46.tar_1404.3252.gz_Drag_force_on_a_moving_impurity_in_a_spin-orbit_coupled_Bose-Einstein_condensate-resubmitted_black.pdf,4,section,0
PdfAct,46.tar_1404.3545.gz_oriented_shadowing_property_and___+-stability_July_revision_black.pdf,2,section,"(0, 0, 0, 0.18867924528301885)"
PdfAct,52.tar_1404.7156.gz_roscoff13_black.pdf,2,section,"(0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.6086956521739131)"
PdfAct,43.tar_1404.1521.gz_GPU_paper_black.pdf,3,section,"(1.0, 1.0, 1.0, 1.0)"
PdfAct,51.tar_1404.6381.gz_BGMyB14_black.pdf,22,section,0
PdfAct,46.tar_1404.3239.gz_SQRI-Final_black.pdf,8,section,0
PdfAct,51.tar_1404.6465.gz_A_N-SIDIS-new_black.pdf,0,section,0
PdfAct,45.tar_1404.2574.gz_hodge_black.pdf,8,section,"(0, 0, 0, 0.13333333333333328)"
PdfAct,49.tar_1404.5319.gz_ms_black.pdf,1,section,"(0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.6)"
PdfAct,49.tar_1404.5504.gz_single-shot37_black.pdf,9,section,"(0, 0, 0, 0.0733944954128441)"
PdfAct,43.tar_1404.1529.gz_Singapore_sjb_ArXiV_black.pdf,8,section,0
PdfAct,48.tar_1404.4488.gz_Gendulphe-RayonInjectivite9_black.pdf,4,section,"(0.13114754098360656, 0.07017543859649122, 1.0, 0.11994784876140813)"
PdfAct,43.tar_1404.1605.gz_delays-hoder_black.pdf,15,section,"(1.0, 1.0, 1.0, 0.75)"
PdfAct,49.tar_1404.5242.gz_gaudianoarchiv_black.pdf,5,section,0
PdfAct,48.tar_1404.4732.gz_paper_black.pdf,5,section,"(0, 0, 0, 0.1408450704225352)"
PdfAct,50.tar_1404.5796.gz_11ad_black.pdf,20,section,0
PdfAct,45.tar_1404.2613.gz_cosmo_black.pdf,12,section,"(0.10000000000000002, 0.1, 0.1, 0.33009708737864074)"
PdfAct,42.tar_1404.0956.gz_main_black.pdf,3,section,"(0.25, 0.2, 0.3333333333333333, 0.33333333333333326)"
PdfAct,44.tar_1404.2258.gz_4userMxN_black.pdf,14,section,"(0, 0, 0, 0.17647058823529405)"
PdfAct,45.tar_1404.2851.gz_pomeron_black.pdf,3,section,"(0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.28865979381443296)"
PdfAct,42.tar_1404.0760.gz_InfoInequality_black.pdf,7,section,"(0, 0, 0, 0.07185628742514964)"
