Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
GROBID,14.tar_1402.0005.gz_paper_black_subset_2,2,equation,0,0,0,0.0321608040201005
GROBID,14.tar_1402.0005.gz_paper_black_subset_6,6,equation,0,0,0,0.10407239819004531
GROBID,14.tar_1402.0005.gz_paper_black_subset_7,7,equation,0,0,0,0.6355140186915889
GROBID,14.tar_1402.0012.gz_Chesnavich_JCP_submission_black_subset_24,24,equation,0,0,0,0.0
GROBID,14.tar_1402.0012.gz_Chesnavich_JCP_submission_black_subset_7,7,equation,0,0,0,0.18111753371868985
GROBID,14.tar_1402.0016.gz_3dquiverDEv2_black_subset_23,23,equation,0,0,0,0.19188191881918826
GROBID,14.tar_1402.0016.gz_3dquiverDEv2_black_subset_31,31,equation,0,0,0,0.08879023307436185
GROBID,14.tar_1402.0016.gz_3dquiverDEv2_black_subset_41,41,equation,0,0,0,0.0
GROBID,14.tar_1402.0016.gz_3dquiverDEv2_black_subset_45,45,equation,0,0,0,0.15294117647058825
GROBID,14.tar_1402.0016.gz_3dquiverDEv2_black_subset_52,52,equation,0,0,0,0.24447334200260074
GROBID,14.tar_1402.0016.gz_3dquiverDEv2_black_subset_54,54,equation,0,0,0,0.08292201382033568
GROBID,14.tar_1402.0016.gz_3dquiverDEv2_black_subset_63,63,equation,0,0,0,0.22068965517241382
GROBID,14.tar_1402.0016.gz_3dquiverDEv2_black_subset_67,67,equation,0,0,0,0.0
GROBID,14.tar_1402.0016.gz_3dquiverDEv2_black_subset_68,68,equation,0,0,0,0.3776626367299942
GROBID,14.tar_1402.0016.gz_3dquiverDEv2_black_subset_69,69,equation,0,0,0,0.15077605321507762
GROBID,14.tar_1402.0048.gz_paper_black_subset_2,2,equation,0,0,0,0.5573770491803279
GROBID,14.tar_1402.0049.gz_qotsd12full_black_subset_14,14,equation,0,0,0,0.11575562700964624
GROBID,14.tar_1402.0049.gz_qotsd12full_black_subset_4,4,equation,0,0,0,0.20817843866171004
GROBID,14.tar_1402.0070.gz_BCR_black_subset_15,15,equation,0,0,0,0.3689727463312369
GROBID,14.tar_1402.0070.gz_BCR_black_subset_3,3,equation,0,0,0,0.14492753623188406
GROBID,14.tar_1402.0070.gz_BCR_black_subset_5,5,equation,0,0,0,0.3935828877005348
